soil_type,temperature,rainfall,season,label
loamy,20.87974371,202.9355362,monsoon,rice
loamy,21.77046169,226.6555374,monsoon,rice
black,23.00445915,263.9642476,monsoon,rice
sandy,26.49109635,242.8640342,monsoon,rice
loamy,20.13017482,262.7173405,monsoon,rice
clay,23.05804872,251.0549998,monsoon,rice
black,22.70883798,271.3248604,monsoon,rice
black,20.27774362,241.9741949,monsoon,rice
clay,24.51588066,230.4462359,monsoon,rice
sandy,23.22397386,221.2091958,monsoon,rice
black,26.52723513,264.6148697,monsoon,rice
black,23.97898217,250.0832336,monsoon,rice
clay,26.80079604,284.4364567,monsoon,rice
clay,24.01497622,185.2773389,summer,rice
black,25.66585205,209.5869708,monsoon,rice
clay,24.28209415,231.0863347,monsoon,rice
black,21.58711777,276.655245899999,monsoon,rice
sandy,23.79391957,206.2611855,monsoon,rice
clay,21.8652524,224.5550169,monsoon,rice
clay,23.57943626,291.2986618,monsoon,rice
black,21.32504158,185.4974732,summer,rice
black,25.15745531,231.3843163,monsoon,rice
clay,21.94766735,213.3560921,monsoon,rice
clay,21.0525355,233.1075816,monsoon,rice
black,23.48381344,224.0581164,monsoon,rice
loamy,25.0756354,257.0038865,monsoon,rice
sandy,26.35927159,271.3586137,monsoon,rice
clay,24.52922681,260.2634026,monsoon,rice
black,20.77576147,240.0810647,monsoon,rice
black,22.30157427,197.9791215,summer,rice
loamy,21.44653958,272.2017204,monsoon,rice
sandy,22.17931888,200.0882787,monsoon,rice
black,24.52783742,224.6757231,monsoon,rice
black,20.26707606,270.4417274,monsoon,rice
sandy,25.7354293,233.1321372,monsoon,rice
loamy,26.79533926,193.3473987,summer,rice
clay,26.75754171,272.2999056,monsoon,rice
sandy,23.86330467,285.2493645,monsoon,rice
sandy,21.01944696,298.4018471,monsoon,rice
sandy,24.17298839,257.0343554,monsoon,rice
sandy,22.78133816,248.7183228,monsoon,rice
black,25.62980105,209.9001977,monsoon,rice
black,25.59704938,200.834898,monsoon,rice
sandy,23.83067496,298.5601175,monsoon,rice
black,26.31355498,265.5355937,monsoon,rice
loamy,24.8972823,183.6793207,summer,rice
clay,24.958779,196.9560008,summer,rice
black,23.24113501,233.0453455,monsoon,rice
sandy,21.66628296,210.8142087,monsoon,rice
sandy,24.63544858,253.7202781,monsoon,rice
loamy,23.43121862,219.9048349,monsoon,rice
black,20.0454142,208.5810155,monsoon,rice
loamy,23.85724032,195.0948311,summer,rice
black,21.97199397,227.3637009,monsoon,rice
loamy,26.22916897,286.5083725,monsoon,rice
clay,23.44676801,283.9338466,monsoon,rice
clay,25.65553461,217.3788583,monsoon,rice
clay,24.44345477,267.9761948,monsoon,rice
